Project_ID,Client_ID,Project_Name,Service_Type,Start_Date,Planned_End_Date,Actual_End_Date,Project_Status,Project_Value,Project_Cost,Priority,Project_Manager_ID
P0001,C0049,Data Analytics - FinWorks Initiative 1,Data Analytics,2025-11-14,2026-03-10,2026-03-13,Completed,847000,448000,Medium,E0106
P0002,C0099,Software Testing - BrightWorks Initiative 2,Software Testing,2026-06-24,2026-08-06,Null,In Progress,301000,256000,Medium,E0119
P0003,C0012,Application Maintenance - NexaEnterprises Initiative 3,Application Maintenance,2025-01-19,2025-05-11,Null,In Progress,248000,190000,Critical,E0088
P0004,C0159,Software Testing - BrightGroup Initiative 4,Software Testing,2025-08-08,2025-11-23,2025-11-26,Completed,474000,239000,Low,E0134
P0005,C0025,IT Support - NexaSolutions Initiative 5,IT Support,2025-08-20,2025-10-14,Null,Cancelled,258000,209000,Critical,E0074
P0006,C0175,Data Analytics - ApexDigital Initiative 6,Data Analytics,2025-10-30,2025-12-14,2025-12-14,Completed,268000,198000,Critical,E0136
P0007,C0171,Software Development - BluePeakWorks Initiative 7,Software Development,2025-12-11,2026-02-02,2026-02-02,Completed,1029000,765000,High,E0147
P0008,C0107,Cloud Services - BrightWorks Initiative 8,Cloud Services,2025-06-07,2025-08-07,Null,In Progress,815000,521000,Medium,E0074
P0009,C0101,Software Testing - BrightIndustries Initiative 9,Software Testing,2026-03-25,2026-04-25,2026-04-25,Completed,585000,331000,High,E0119
P0010,C0087,Application Maintenance - VertexLabs Initiative 10,Application Maintenance,2025-09-01,2026-01-12,2026-03-02,Delayed,473000,366000,High,E0088
P0011,C0048,Custom Software - CloudDigital Initiative 11,Custom Software,2025-08-28,2025-11-17,Null,In Progress,384000,318000,High,E0088
P0012,C0121,Custom Software - PrimeSolutions Initiative 12,Custom Software,2025-07-18,2025-11-09,2025-11-12,Completed,400000,266000,Medium,E0147
P0013,C0113,Custom Software - PrimeTech Initiative 13,Custom Software,2026-04-18,2026-07-19,2026-07-19,Completed,1072000,544000,High,E0119
P0014,C0121,Cloud Services - PrimeSolutions Initiative 14,Cloud Services,2025-06-15,2025-08-25,2025-09-19,Completed,642000,333000,Medium,E0147
P0015,C0094,Software Testing - CoreIndustries Initiative 15,Software Testing,2025-09-14,2025-10-17,2025-10-17,Completed,626000,302000,Low,E0134
P0016,C0109,Application Maintenance - CoreIndustries Initiative 16,Application Maintenance,2026-07-22,2026-09-06,2026-10-31,Delayed,571000,423000,Medium,E0136
P0017,C0053,Data Analytics - GreenDigital Initiative 17,Data Analytics,2025-10-19,2025-11-29,2026-01-26,Delayed,653000,321000,Low,E0074
P0018,C0013,Power BI Development - ApexGroup Initiative 18,Power BI Development,2026-04-06,2026-06-02,2026-06-17,Completed,829000,654000,Medium,E0119
