Allocation_ID,Project_ID,Employee_ID,Role_On_Project,Hours_Allocated,Hours_Worked,Tasks_Assigned,Tasks_Completed,Quality_Score,Performance_Rating
A00001,P0001,E0056,BI Analyst,92,84,41,35,91.9,4.6
A00002,P0001,E0147,Business Analyst,195,209,40,36,91.1,4.4
A00003,P0001,E0018,Senior Data Analyst,88,72,33,28,86.1,4.5
A00004,P0001,E0069,BI Analyst,115,89,11,10,95.7,4.7
A00005,P0002,E0147,Business Analyst,166,164,32,30,98.2,4.7
A00006,P0002,E0127,Full Stack Developer,68,51,23,19,91.6,4.4
A00007,P0002,E0120,Automation Tester,167,167,12,9,81.6,3.9
A00008,P0003,E0070,Automation Tester,132,138,28,22,86.2,4.1
A00009,P0003,E0149,Software Tester,73,85,32,30,85.0,4.2
A00010,P0004,E0053,Software Tester,133,134,42,38,93.0,4.5
A00011,P0004,E0086,Automation Tester,214,172,19,14,93.7,4.8
A00012,P0004,E0143,Automation Tester,160,133,12,11,100.0,5.0
A00013,P0004,E0049,Software Developer,44,42,45,36,93.0,4.6
A00014,P0004,E0104,QA Engineer,57,53,8,6,93.6,4.7
A00015,P0005,E0046,IT Support Executive,95,94,10,8,81.9,3.9
A00016,P0005,E0050,Technical Support Engineer,55,61,33,29,96.3,4.8
A00017,P0005,E0129,Technical Support Engineer,169,179,26,20,83.4,4.3
A00018,P0005,E0088,Business Analyst,200,174,40,29,85.7,4.2
A00019,P0006,E0017,Business Analyst,148,160,33,30,84.7,4.2
A00020,P0006,E0032,BI Analyst,61,66,42,33,82.2,4.0
A00021,P0006,E0058,BI Analyst,177,176,17,15,96.1,4.6
A00022,P0006,E0007,Data Analyst,111,116,13,10,97.3,4.7
A00023,P0006,E0057,Data Analyst,119,102,13,9,93.1,4.6
A00024,P0007,E0023,Full Stack Developer,79,85,42,30,88.5,4.7
A00025,P0007,E0134,Business Analyst,123,125,33,32,97.3,4.9
A00026,P0007,E0001,Software Developer,190,185,12,9,85.6,4.2
A00027,P0008,E0020,Python Developer,218,194,35,27,87.6,4.4
A00028,P0008,E0068,Technical Support Engineer,101,90,11,10,89.3,4.4
A00029,P0008,E0129,Technical Support Engineer,102,110,13,12,85.4,4.3
A00030,P0008,E0125,Java Developer,151,173,15,13,98.9,5.0
A00031,P0009,E0144,Software Developer,196,185,11,9,74.3,3.5
A00032,P0009,E0074,Project Manager,119,120,19,16,96.6,5.0
A00033,P0009,E0082,Python Developer,70,67,8,7,92.6,4.8
A00034,P0009,E0020,Python Developer,75,71,8,5,85.9,4.3
A00035,P0009,E0060,QA Engineer,81,86,39,36,95.2,4.7
A00036,P0010,E0097,Technical Support Engineer,173,193,41,29,87.0,4.2
A00037,P0010,E0041,Technical Support Engineer,106,95,18,14,79.4,4.0
A00038,P0010,E0122,Technical Support Engineer,135,105,16,15,82.6,4.1
A00039,P0010,E0092,Software Tester,108,119,15,12,89.1,4.4
A00040,P0011,E0013,Data Analyst,125,144,35,28,86.6,4.2
A00041,P0011,E0048,Full Stack Developer,109,115,41,31,91.7,4.7
A00042,P0012,E0123,Data Analyst,107,105,44,37,87.9,4.5
A00043,P0012,E0027,QA Engineer,200,192,12,8,100.0,5.0
A00044,P0013,E0143,Automation Tester,156,157,40,32,92.3,4.5
A00045,P0013,E0026,Java Developer,132,135,11,10,87.9,4.3
A00046,P0013,E0064,Java Developer,167,174,44,36,97.4,5.0
A00047,P0013,E0008,Data Analyst,82,81,31,25,93.2,4.7
A00048,P0013,E0029,BI Analyst,80,77,24,18,82.3,4.2
A00049,P0014,E0105,IT Support Executive,186,227,15,14,94.5,4.8
A00050,P0014,E0074,Project Manager,98,95,40,32,95.2,4.9
A00051,P0015,E0049,Software Developer,51,54,8,7,91.1,4.7
A00052,P0015,E0094,QA Engineer,102,79,10,8,90.8,4.6
A00053,P0016,E0094,QA Engineer,133,146,32,24,88.3,4.4
A00054,P0016,E0117,Java Developer,78,74,19,16,98.8,5.0
A00055,P0016,E0124,Python Developer,49,47,43,41,90.5,4.4
A00056,P0016,E0083,IT Support Executive,207,201,34,32,94.6,4.6
A00057,P0016,E0118,Software Tester,97,113,28,27,84.5,4.0
A00058,P0017,E0091,BI Analyst,146,174,28,21,87.8,4.4
A00059,P0017,E0106,Project Manager,109,104,12,10,87.3,4.2
A00060,P0017,E0057,Data Analyst,186,172,31,27,89.2,4.7
A00061,P0018,E0012,Python Developer,168,188,11,8,96.8,4.8
A00062,P0018,E0065,Senior Data Analyst,85,84,22,17,88.8,4.4
A00063,P0019,E0147,Business Analyst,142,131,12,11,72.0,3.7
A00064,P0019,E0091,BI Analyst,159,163,26,20,83.5,4.1
A00065,P0020,E0086,Automation Tester,123,99,13,11,91.1,4.2
A00066,P0020,E0149,Software Tester,181,167,37,33,96.6,4.9
A00067,P0020,E0020,Python Developer,42,38,31,24,88.2,4.4
A00068,P0020,E0077,Automation Tester,91,91,26,24,81.9,4.1
A00069,P0021,E0083,IT Support Executive,199,188,23,17,97.2,4.6
A00070,P0021,E0082,Python Developer,158,137,31,24,90.8,4.4
A00071,P0021,E0050,Technical Support Engineer,191,175,39,32,84.2,4.3
A00072,P0021,E0019,Full Stack Developer,90,75,42,41,80.4,3.8
A00073,P0022,E0064,Java Developer,78,69,8,6,85.3,4.4
A00074,P0022,E0036,QA Engineer,144,133,9,8,94.5,4.4
A00075,P0022,E0102,QA Engineer,99,98,42,33,88.3,4.4
A00076,P0023,E0007,Data Analyst,202,209,8,5,89.0,4.6
A00077,P0023,E0028,Data Analyst,125,139,8,7,98.0,5.0
A00078,P0023,E0074,Project Manager,208,216,32,31,84.8,4.2
A00079,P0023,E0119,Business Analyst,118,129,14,10,96.5,4.8
A00080,P0024,E0077,Automation Tester,175,134,23,20,85.4,4.3
A00081,P0024,E0140,Software Developer,147,141,39,34,87.0,4.3
A00082,P0024,E0060,QA Engineer,55,62,17,12,91.8,4.6
A00083,P0025,E0147,Business Analyst,63,58,10,8,80.5,4.1
A00084,P0025,E0082,Python Developer,99,96,41,39,92.3,4.7
A00085,P0025,E0104,QA Engineer,145,132,31,30,93.9,4.7
A00086,P0025,E0111,Data Analyst,157,134,13,10,96.3,4.7
A00087,P0026,E0014,Java Developer,169,163,16,11,84.7,4.3
A00088,P0026,E0126,Java Developer,203,219,33,32,89.5,4.6
A00089,P0027,E0012,Python Developer,191,160,44,33,92.4,4.5
A00090,P0027,E0105,IT Support Executive,55,60,35,27,94.2,4.7
A00091,P0028,E0023,Full Stack Developer,100,76,26,23,86.1,4.3
A00092,P0028,E0057,Data Analyst,106,102,28,27,90.8,4.6
A00093,P0028,E0125,Java Developer,140,171,28,23,87.6,4.3
A00094,P0029,E0127,Full Stack Developer,155,172,25,19,93.2,4.7
A00095,P0029,E0086,Automation Tester,99,92,12,10,90.8,4.5
A00096,P0029,E0113,Full Stack Developer,91,80,16,14,81.3,4.0
A00097,P0029,E0028,Data Analyst,189,217,14,13,98.4,4.8
A00098,P0030,E0143,Automation Tester,67,67,18,13,93.3,4.5
A00099,P0030,E0030,Software Developer,155,168,37,34,71.4,3.6
A00100,P0030,E0127,Full Stack Developer,120,112,34,29,92.3,4.5
A00101,P0031,E0119,Business Analyst,177,179,30,29,88.0,4.4
A00102,P0031,E0136,Business Analyst,93,86,36,30,93.0,4.7
A00103,P0032,E0150,Technical Support Engineer,158,138,24,17,94.1,4.7
A00104,P0032,E0045,IT Support Executive,70,79,13,11,93.2,4.5
A00105,P0032,E0023,Full Stack Developer,80,77,27,26,86.6,4.4
A00106,P0032,E0103,Full Stack Developer,220,150,10,8,100.0,5.0
A00107,P0033,E0111,Data Analyst,123,132,17,16,78.9,4.1
A00108,P0033,E0107,Senior Data Analyst,63,63,23,19,100.0,5.0
A00109,P0033,E0123,Data Analyst,131,117,33,25,88.7,4.4
A00110,P0034,E0132,Software Tester,213,199,27,23,98.0,4.9
A00111,P0034,E0053,Software Tester,106,116,19,14,96.4,4.8
A00112,P0035,E0045,IT Support Executive,143,151,36,31,87.3,4.5
A00113,P0035,E0039,Full Stack Developer,182,203,43,33,96.4,4.8
A00114,P0036,E0082,Python Developer,64,60,37,31,87.3,4.2
A00115,P0036,E0129,Technical Support Engineer,66,59,16,14,96.3,4.9
A00116,P0036,E0102,QA Engineer,71,64,8,6,89.2,4.5
A00117,P0037,E0111,Data Analyst,96,99,16,12,96.3,5.0
A00118,P0037,E0074,Project Manager,90,93,33,28,93.1,4.6
A00119,P0038,E0114,Java Developer,215,246,13,10,85.1,4.3
A00120,P0038,E0001,Software Developer,189,224,45,37,96.6,5.0
