Ticket_ID,Client_ID,Assigned_Employee_ID,Issue_Type,Priority,Created_Date,Resolved_Date,Ticket_Status,Resolution_Hours,Customer_Rating,SLA_Status
T00001,C0115,E0080,Performance Issue,Medium,2026-02-27 07:00,2026-03-01 00:24,Closed,41.4,4,Breached
T00002,C0094,E0042,Network Issue,Low,2025-07-29 02:00,2025-07-29 15:30,Resolved,13.5,4,Met
T00003,C0055,E0045,Database Issue,High,2026-03-26 19:00,2026-03-27 09:12,Resolved,14.2,3,Breached
T00004,C0159,E0046,Data Issue,Low,2025-11-29 14:00,Null,Escalated,Null,Null,Pending
T00005,C0043,E0042,Network Issue,Low,2026-03-14 12:00,2026-03-15 03:18,Resolved,15.3,4,Met
T00006,C0164,E0099,Login Issue,Low,2026-01-25 23:00,2026-01-26 04:48,Closed,5.8,2,Met
T00007,C0025,E0141,Security Issue,Medium,2026-02-08 19:00,2026-02-09 01:06,Closed,6.1,4,Met
T00008,C0031,E0122,Access/Permission,Low,2026-07-04 16:00,2026-07-05 19:00,Closed,27,4,Breached
T00009,C0077,E0122,Login Issue,Low,2026-06-18 03:00,Null,Escalated,Null,Null,Pending
T00010,C0147,E0141,Data Issue,Medium,2026-04-13 01:00,Null,Open,Null,Null,Pending
T00011,C0122,E0006,Network Issue,Low,2026-06-16 17:00,2026-06-17 07:30,Resolved,14.5,3,Met
T00012,C0116,E0041,Software Installation,Medium,2025-02-10 17:00,Null,Escalated,Null,Null,Pending
T00013,C0047,E0150,Software Installation,Medium,2026-06-13 20:00,2026-06-14 09:36,Resolved,13.6,3,Breached
T00014,C0030,E0097,Login Issue,High,2025-07-14 09:00,2025-07-14 18:36,Closed,9.6,3,Breached
T00015,C0126,E0006,Data Issue,Low,2026-02-12 09:00,2026-02-13 01:54,Closed,16.9,3,Met
T00016,C0059,E0011,Performance Issue,High,2026-04-18 05:00,2026-04-19 03:24,Closed,22.4,5,Breached
T00017,C0100,E0002,Software Installation,Medium,2025-10-29 19:00,2025-10-30 19:18,Resolved,24.3,4,Breached
T00018,C0145,E0131,Login Issue,High,2026-06-14 04:00,2026-06-14 10:24,Closed,6.4,5,Met
T00019,C0038,E0050,Data Issue,Low,2026-04-08 02:00,2026-04-08 15:30,Resolved,13.5,4,Met
T00020,C0022,E0041,Feature Request,Medium,2025-04-26 05:00,Null,In Progress,Null,Null,Pending
T00021,C0034,E0062,Access/Permission,High,2026-07-14 04:00,Null,Open,Null,Null,Pending
T00022,C0110,E0122,Software Installation,Medium,2026-02-28 10:00,2026-02-28 21:54,Resolved,11.9,4,Met
T00023,C0171,E0141,Data Issue,Medium,2025-01-26 05:00,2025-01-26 15:48,Closed,10.8,4,Met
T00024,C0019,E0055,Data Issue,Medium,2025-07-26 14:00,Null,Escalated,Null,Null,Pending
T00025,C0180,E0050,Application Error,High,2025-09-14 10:00,2025-09-14 17:48,Closed,7.8,4,Met
T00026,C0115,E0006,Database Issue,High,2025-05-07 02:00,2025-05-07 12:48,Resolved,10.8,4,Breached
T00027,C0069,E0050,Application Error,Low,2026-04-06 20:00,2026-04-07 14:00,Closed,18,4,Met
T00028,C0082,E0045,Security Issue,Medium,2025-03-29 16:00,2025-03-30 11:30,Resolved,19.5,3,Breached
T00029,C0072,E0083,Software Installation,Low,2026-06-08 19:00,2026-06-11 02:18,Resolved,55.3,5,Breached
T00030,C0067,E0055,Database Issue,Medium,2026-01-23 17:00,2026-01-24 04:42,Closed,11.7,4,Met
T00031,C0066,E0112,Software Installation,High,2025-02-14 05:00,2025-02-14 12:36,Closed,7.6,3,Met
T00032,C0060,E0148,Security Issue,Medium,2026-08-03 21:00,2026-08-04 09:06,Resolved,12.1,4,Breached
T00033,C0144,E0050,Database Issue,High,2025-06-16 04:00,2025-06-16 13:42,Closed,9.7,5,Breached
T00034,C0115,E0002,Database Issue,Critical,2025-02-22 13:00,2025-02-23 01:48,Resolved,12.8,4,Breached
T00035,C0053,E0122,Performance Issue,Critical,2025-11-13 23:00,2025-11-14 07:36,Resolved,8.6,4,Breached
T00036,C0163,E0112,Data Issue,Medium,2025-10-23 20:00,2025-10-24 10:30,Closed,14.5,4,Breached
T00037,C0133,E0055,Database Issue,Low,2025-05-01 04:00,2025-05-01 21:00,Closed,17,3,Met
T00038,C0071,E0046,Network Issue,Medium,2025-01-04 19:00,Null,Open,Null,Null,Pending
T00039,C0110,E0041,Performance Issue,Medium,2025-01-13 14:00,2025-01-13 21:48,Resolved,7.8,5,Met
T00040,C0074,E0150,Data Issue,Medium,2026-05-26 17:00,2026-05-27 11:00,Resolved,18,3,Breached
T00041,C0053,E0067,Login Issue,Medium,2026-05-21 07:00,Null,Escalated,Null,Null,Pending
T00042,C0016,E0050,Network Issue,Medium,2026-05-03 14:00,2026-05-03 23:36,Resolved,9.6,5,Met
T00043,C0126,E0050,Software Installation,Medium,2026-03-29 02:00,2026-03-30 06:24,Resolved,28.4,5,Breached
T00044,C0105,E0083,Access/Permission,Medium,2025-01-07 07:00,2025-01-08 04:36,Resolved,21.6,5,Breached
T00045,C0133,E0011,Feature Request,Medium,2025-10-12 19:00,2025-10-13 08:36,Closed,13.6,4,Breached
T00046,C0087,E0122,Feature Request,Medium,2025-08-01 01:00,Null,Open,Null,Null,Pending
T00047,C0116,E0045,Database Issue,Low,2025-06-01 01:00,2025-06-02 05:06,Resolved,28.1,4,Breached
T00048,C0108,E0002,Security Issue,High,2025-02-07 04:00,Null,In Progress,Null,Null,Pending
T00049,C0070,E0002,Login Issue,Medium,2026-08-15 19:00,Null,Open,Null,Null,Pending
T00050,C0112,E0080,Performance Issue,Medium,2025-12-06 02:00,2025-12-06 09:30,Resolved,7.5,5,Met
T00051,C0021,E0073,Login Issue,Medium,2025-04-22 13:00,2025-04-24 05:18,Closed,40.3,5,Breached
T00052,C0117,E0129,Database Issue,High,2025-06-15 21:00,2025-06-16 10:12,Closed,13.2,4,Breached
T00053,C0057,E0068,Performance Issue,Low,2026-08-10 17:00,2026-08-11 00:24,Resolved,7.4,4,Met
T00054,C0100,E0011,Database Issue,Medium,2026-04-12 23:00,Null,In Progress,Null,Null,Pending
