Client_ID,Client_Name,Industry,Client_Type,City,State,Country,Join_Date,Account_Manager_ID,Client_Status
C0001,FusionWorks 1,Media,SME,Delhi,Delhi,India,2023-11-10,E0109,Active
C0002,GreenLabs 2,Telecommunications,Startup,Bengaluru,Karnataka,India,2026-06-15,E0136,Active
C0003,CloudDigital 3,Education,Enterprise,Indore,Madhya Pradesh,India,2026-04-28,E0076,Active
C0004,OrbitSolutions 4,Unknown,SME,Delhi,Delhi,India,2024-07-25,E0119,Active
C0005,FinDigital 5,Education,SME,Hyderabad,Telangana,India,2024-11-19,E0003,Inactive
C0006,PrimeWorks 6,E-commerce,Startup,Noida,Uttar Pradesh,India,2024-03-10,E0101,Active
C0007,BluePeakLabs 7,Retail,Enterprise,Indore,Madhya Pradesh,India,2026-05-05,E0146,Inactive
C0008,GreenTech 8,Retail,SME,Surat,Gujarat,India,2025-11-24,E0072,Active
C0009,ZenithDigital 9,Banking,Startup,Mumbai,Maharashtra,India,2025-09-27,E0136,Active
C0010,ZenithWorks 10,Banking,Mid-Market,Indore,Madhya Pradesh,India,2025-10-02,E0119,Active
C0011,BrightLabs 11,IT & Software,Mid-Market,Indore,Madhya Pradesh,India,2024-03-29,E0106,Active
C0012,NexaEnterprises 12,Banking,Mid-Market,Kolkata,West Bengal,India,2025-08-27,E0136,Active
C0013,ApexGroup 13,E-commerce,Enterprise,Ahmedabad,Gujarat,India,2024-11-08,E0101,Active
C0014,NexaLabs 14,Education,Mid-Market,Kolkata,West Bengal,India,2024-05-29,E0074,Active
C0015,VertexEnterprises 15,Telecommunications,Startup,Mumbai,Maharashtra,India,2023-09-02,E0147,Active
C0016,PrimeIndustries 16,Telecommunications,Mid-Market,Ahmedabad,Gujarat,India,2024-03-19,E0147,Active
C0017,ZenithGroup 17,Retail,Mid-Market,Noida,Uttar Pradesh,India,2026-05-07,E0085,Active
C0018,NexaIndustries 18,Banking,Mid-Market,Mumbai,Maharashtra,India,2025-01-09,E0061,Active
C0019,ZenithGroup 19,IT & Software,Enterprise,Chennai,Tamil Nadu,India,2023-09-17,E0076,Active
C0020,GreenLabs 20,IT & Software,Mid-Market,Pune,Maharashtra,India,2023-09-16,E0139,Inactive
C0021,BrightTech 21,Education,Mid-Market,Nagpur,Maharashtra,India,2026-03-21,E0085,Active
C0022,CloudEnterprises 22,Education,SME,Noida,Uttar Pradesh,India,2024-01-13,E0017,Active
C0023,BrightSolutions 23,Education,SME,Chennai,Tamil Nadu,India,2025-03-31,E0128,Active
C0024,UrbanTech 24,Real Estate,Startup,Mumbai,Maharashtra,India,2023-11-07,E0059,Active
C0025,NexaSolutions 25,Real Estate,Mid-Market,Indore,Madhya Pradesh,India,2024-05-23,E0052,Active
C0026,FinIndustries 26,Unknown,Startup,Ahmedabad,Gujarat,India,2025-12-06,E0106,Active
C0027,NexaDigital 27,Education,SME,Noida,Uttar Pradesh,India,2024-09-17,E0137,Active
C0028,FinSolutions 28,IT & Software,SME,Vadodara,Gujarat,India,2024-03-01,E0139,Active
C0029,UrbanSolutions 29,Retail,Startup,Hyderabad,Telangana,India,2023-11-18,E0074,Active
C0030,BrightSystems 30,Logistics,Enterprise,Bengaluru,Karnataka,India,2023-01-06,E0109,Active
C0031,FinWorks 31,Telecommunications,Mid-Market,Noida,Uttar Pradesh,India,2024-08-19,E0017,Active
C0032,ZenithLabs 32,Retail,Enterprise,Hyderabad,Telangana,India,2025-07-18,E0051,Active
C0033,FusionLabs 33,Banking,Mid-Market,Jaipur,Rajasthan,India,2026-07-04,E0137,Active
C0034,ApexSolutions 34,Banking,Mid-Market,Jaipur,Rajasthan,India,2026-01-20,E0074,Active
C0035,FusionLabs 35,Finance,SME,Jaipur,Rajasthan,India,2023-10-19,E0051,Active
C0036,CoreLabs 36,Finance,Enterprise,pune,Maharashtra,India,2026-05-03,E0147,Active
C0037,FusionLabs 37,Real Estate,Startup,Nagpur,Maharashtra,India,2025-06-18,E0052,Active
C0038,NexaDigital 38,Telecommunications,Mid-Market,Noida,Uttar Pradesh,India,2024-07-11,E0134,Active
C0039,CloudSolutions 39,Education,Mid-Market,Ahmedabad,Gujarat,India,2026-05-09,E0017,Active
C0040,ZenithEnterprises 40,Manufacturing,Enterprise,Surat,Gujarat,India,2026-05-21,E0076,Active
C0041,VertexTech 41,Healthcare,SME,Pune,Maharashtra,India,2024-07-05,E0137,Active
C0042,CloudGroup 42,Finance,Enterprise,Pune,Maharashtra,India,2025-06-24,E0076,Active
C0043,ApexWorks 43,Real Estate,SME,Bengaluru,Karnataka,India,2023-07-06,E0128,Active
